,id,X,Y
0,0,21.71808,-17.45748
1,1,-25.90392,-19.564783
2,2,-38.8986,19.486973
3,3,42.01377,1.9748721
4,4,-6.649626,28.053345
5,5,-36.298534,5.891892
6,6,18.714092,-30.778196
7,7,8.583872,2.5305529
8,8,26.659075,-30.43912
9,9,-9.857673,10.287015
10,10,5.431728,-6.1939116
11,11,32.329414,-0.56899923
12,12,-7.59425,-6.46329
13,13,-4.3908844,-40.86838
14,14,24.754614,-40.026955
15,15,21.691223,40.95921
16,16,-36.974773,-6.3729453
17,17,35.976562,14.440553
18,18,4.2868066,-34.9878
19,19,2.2482238,16.270803
20,20,-40.01437,24.251873
21,21,-30.21298,-17.988962
22,22,-1.9021361,16.448397
23,23,42.11909,2.0386975
24,24,23.45434,-21.711222
25,25,-20.006697,-1.6935697
26,26,-18.031372,20.431566
27,27,5.0647388,-0.09831376
28,28,19.907383,29.108568
29,29,28.996054,33.48224
30,30,-10.228944,-12.737381
31,31,38.743713,16.363226
32,32,-3.988181,-31.34126
33,33,3.3508325,16.040062
34,34,-17.17764,-16.633411
35,35,33.638355,-5.0415716
36,36,5.7457933,-39.313065
37,37,-19.22365,-16.709635
38,38,-0.18745914,36.041943
39,39,-1.9266201,-40.34474
40,40,33.62516,-28.343061
41,41,29.571169,12.974578
42,42,2.4414775,38.08606
43,43,1.1861135,16.809269
44,44,-4.3994794,5.7990494
45,45,-4.588629,26.889595
46,46,21.365078,16.705292
47,47,26.280952,-5.697599
48,48,-5.365113,5.809478
49,49,5.1191525,2.3483834
50,50,3.4600174,-10.348085
51,51,-28.497398,-29.663677
52,52,6.30214,48.838104
53,53,-7.3883276,15.769791
54,54,-4.11735,25.072845
55,55,28.075266,18.815525
56,56,-27.341011,-32.868546
57,57,1.9330052,20.780365
58,58,-29.823973,22.696758
59,59,48.000465,-1.2049024
60,60,-42.164467,20.699207
61,61,-6.786231,12.892455
62,62,5.8233204,-37.515156
63,63,-26.117544,-18.310717
64,64,-34.68512,14.639933
65,65,32.206055,-0.016125847
66,66,2.3031726,-38.669125
67,67,45.57311,-20.531603
68,68,-33.006466,-36.32539
69,69,-14.156839,-24.132824
70,70,22.381868,-23.79997
71,71,22.995674,41.156387
72,72,38.58808,-33.481133
73,73,0.013611413,-38.24382
74,74,-1.4439949,-1.2440084
75,75,-18.399767,-19.347824
76,76,-18.663464,-7.5204883
77,77,40.097942,-3.489011
78,78,43.357964,-7.653975
79,79,28.045021,34.322456
80,80,-15.198758,-27.120258
81,81,-18.364565,-19.212507
82,82,-39.306114,-8.043696
83,83,-2.3687773,-44.023094
84,84,5.3561473,40.54268
85,85,28.99921,12.021342
86,86,-10.980015,-9.522635
87,87,3.9830222,24.465828
88,88,-26.066422,-33.428764
89,89,-15.106308,7.3335705
90,90,-2.3331761,-43.492485
91,91,23.378433,44.290806
92,92,-31.744986,20.419636
93,93,0.8125025,-38.46017
94,94,29.214603,17.328064
95,95,-16.124962,-20.267906
96,96,12.340575,39.085815
97,97,32.015186,17.62023
98,98,-1.1015909,-1.2401683
99,99,41.53816,-2.7664
100,100,19.858322,-7.821894
101,101,15.581581,47.498234
102,102,26.201403,-38.355072
103,103,15.834053,41.31199
104,104,16.705439,-35.223816
105,105,46.11807,-10.615773
106,106,-1.0182409,-33.28124
107,107,9.981296,-4.684237
108,108,-34.15575,-36.413074
109,109,-26.78185,5.614125
110,110,-24.626816,38.727287
111,111,9.897922,4.7990656
112,112,32.35835,-26.827955
113,113,49.64388,-7.065243
114,114,-38.367043,-26.105381
115,115,-13.923383,10.764195
116,116,-10.686923,33.76487
117,117,-23.64852,0.053524286
118,118,-22.262632,-26.58984
119,119,-30.948181,-17.34555
120,120,9.245919,36.11272
121,121,-35.345295,-31.771769
122,122,-24.94547,-4.1018877
123,123,25.072556,40.19497
124,124,42.738663,-31.698067
125,125,29.400389,11.668471
126,126,0.8284812,-28.772318
127,127,-9.315887,8.53843
128,128,29.470682,-22.651745
129,129,6.2281084,-44.33028
130,130,1.2876228,3.2930121
131,131,-9.693715,9.617932
132,132,21.521105,-21.218542
133,133,-3.8255236,18.86952
134,134,14.237199,-32.770763
135,135,10.706929,-1.5879314
136,136,-5.5106406,0.6031483
137,137,32.63692,12.674405
138,138,16.204853,-22.532396
139,139,-12.326843,13.9117155
140,140,11.540532,30.779526
141,141,28.370274,33.980232
142,142,-17.87844,18.720816
143,143,-24.982122,3.718054
144,144,14.595568,15.0347805
145,145,30.418966,-1.5822148
146,146,30.936428,18.43443
147,147,-0.31542924,-35.74036
148,148,14.013596,26.003872
149,149,-4.483554,-4.0770965
150,150,-17.438843,24.226234
151,151,0.35415173,-43.09702
152,152,41.16863,-28.32189
153,153,0.7190964,17.435724
154,154,-0.82574934,44.279243
155,155,4.376837,-43.91034
156,156,-36.883816,-24.93872
157,157,11.214702,-1.0176551
158,158,-10.951423,50.771667
159,159,-23.43337,0.94721675
160,160,17.123592,16.049322
161,161,-20.777405,-1.2119893
162,162,-13.999068,33.427246
163,163,-6.809415,13.114926
164,164,-36.907852,22.93333
165,165,0.7208105,-39.2394
166,166,-14.21228,15.197463
167,167,2.4105563,25.69902
168,168,12.395626,31.874397
169,169,-15.981237,-20.173775
170,170,-17.39958,37.5182
171,171,-23.395021,0.67881066
172,172,1.022369,48.285503
173,173,34.37989,-3.157459
174,174,35.020676,-25.467676
175,175,31.097858,-3.9046297
176,176,-15.423864,29.855368
177,177,38.14983,-8.617066
178,178,-48.101425,-2.220065
179,179,10.529869,3.6194131
180,180,43.326035,-22.079327
181,181,10.732262,3.336009
182,182,7.7534127,-25.707819
183,183,-1.0841678,25.774853
184,184,20.575085,-37.02018
185,185,23.265455,44.53265
186,186,-9.729702,-32.707745
187,187,-23.585468,-3.244715
188,188,16.618423,19.180365
189,189,-25.46204,2.631928
190,190,-25.295107,-1.318524
191,191,30.528593,-1.347489
192,192,-17.888418,-23.569592
193,193,23.363295,44.234035
194,194,-30.522139,18.403593
195,195,3.056003,18.508722
196,196,-7.859365,48.688488
197,197,35.58312,14.978789
198,198,-2.6541126,-9.623591
199,199,-30.74626,5.648649
200,200,20.78641,-36.616486
201,201,41.923462,2.6805089
202,202,30.279783,13.214604
203,203,10.626172,3.2965443
204,204,-3.055078,-33.863728
205,205,49.990723,-2.5075953
206,206,-30.72598,-32.454803
207,207,14.313671,1.2633326
208,208,32.307354,-20.61607
209,209,-32.850334,-35.030525
210,210,-21.1139,-30.35537
211,211,31.952246,-20.494791
212,212,24.079956,-24.96944
213,213,-39.611988,-0.31109133
214,214,-4.533589,48.625557
215,215,9.294151,-5.1638575
216,216,-13.877499,-27.530508
217,217,-24.417288,18.459206
218,218,-7.3945765,-33.940674
219,219,25.83453,-14.688369
220,220,-16.00225,-1.7019697
221,221,-8.541613,-44.332508
222,222,-40.86928,20.419754
223,223,17.573523,43.931805
224,224,17.5019,30.244062
225,225,34.795696,9.541371
226,226,-17.512976,38.548477
227,227,-5.576013,21.268047
228,228,-10.582021,-9.490455
229,229,-30.65671,-35.407475
230,230,20.247797,35.018883
231,231,40.828407,-26.867296
232,232,-11.828846,-25.170374
233,233,-40.733955,3.580655
234,234,-18.436838,-24.911228
235,235,10.273883,-3.516241
236,236,23.66185,-7.0924
237,237,-23.283453,17.002596
238,238,-7.675611,-39.203964
239,239,29.899374,-9.15912
240,240,25.305994,10.697245
241,241,-14.461473,-43.05287
242,242,10.023761,-7.229157
243,243,15.563143,45.02291
244,244,9.0106735,-21.10227
245,245,34.231216,15.97291
246,246,-30.826561,-34.48987
247,247,-5.4430275,21.289639
248,248,16.773916,-31.853483
249,249,-34.344322,-35.243908
250,250,-10.576615,-12.942301
251,251,32.272907,-19.818615
252,252,-24.07811,-7.9042315
253,253,-47.514687,1.5846028
254,254,-0.8527317,-14.825646
255,255,10.648304,-2.140369
256,256,13.118535,-41.721165
257,257,-15.500847,13.347728
258,258,12.307919,35.312202
259,259,31.993631,-9.898199
260,260,-41.767025,-26.621435
261,261,-0.25207278,-44.12707
262,262,10.652775,-49.448868
263,263,16.349367,45.069542
264,264,-30.979914,38.577583
265,265,34.726574,17.845964
266,266,10.840596,-22.614082
267,267,-6.2047887,22.941164
268,268,-23.735783,6.753166
269,269,46.94368,-16.923264
270,270,43.38151,-29.86403
271,271,-14.4986725,17.276138
272,272,-25.045578,11.626594
273,273,30.038082,-9.157948
274,274,11.200786,-41.315838
275,275,-15.863797,13.601876
276,276,36.38939,-22.337399
277,277,-44.652077,-1.1119646
278,278,15.575556,-24.471472
279,279,8.8892145,3.0759666
280,280,-5.9555626,26.484818
281,281,10.501041,-4.3233643
282,282,-25.176607,43.420784
283,283,-34.18029,-32.318672
284,284,4.1467094,-20.091188
285,285,-5.99444,21.660746
286,286,-3.1618638,-45.683697
287,287,34.17222,-5.7818227
288,288,3.7095652,40.497
289,289,-14.658316,17.01055
290,290,41.90042,-16.67969
291,291,8.1238985,-4.2877736
292,292,-13.441185,21.782036
293,293,-25.112768,-27.066763
294,294,-42.434727,21.674376
295,295,35.678925,11.952631
296,296,-23.57253,-27.835838
297,297,-15.545696,13.167226
298,298,-7.8934784,-8.212035
299,299,-10.067081,-43.405952
300,300,25.247551,12.393281
301,301,18.979374,42.422165
302,302,3.9250453,-43.125805
303,303,-24.597229,-20.343977
304,304,-7.950708,42.000957
305,305,24.931322,35.730625
