studentId,createdDate,updatedDate,isExpelled,expellingReason,courseCompleted,isTopPerformer,preferedMentorGithubId,readyFullTime,courseId,userId,mentorId,cvUrl,hiredById,hiredByName,isFailed,startDate,endDate,repository,repositoryLastActivityDate,idUser,educationHistory,englishLevel
5740,2019-09-06 17:30:17.681556,2019-12-03 16:24:58.705742,t,No activity in private repository,f,True,,,11,4467,647.0,,,,f,2019-09-09 07:35:20.981+00,2019-12-04 09:17:02.998689+00,https://github.com/rolling-scopes-school/1b3f6849-5330-5558-a789-7656f5719700-RS2019Q3,,4467,[],
6956,2019-09-09 18:24:04.90096,2019-11-20 22:00:13.036321,t,No activity in private repository,f,True,,,11,5580,795.0,,,,f,2019-09-09 07:35:20.981+00,2019-12-04 09:17:02.998689+00,https://github.com/rolling-scopes-school/76c0e5d1-0a22-5698-a774-5009de8df3c9-RS2019Q3,,5580,[],
11616,2020-02-05 12:39:48.166948,2020-02-05 12:39:48.166948,f,,f,False,,,16,9557,,,,,f,2020-02-05 12:39:48.164+00,,,,9557,[],
11773,2020-02-05 17:16:46.874484,2020-02-05 17:16:46.874484,f,,f,False,,,16,9627,,,,,f,2020-02-05 17:16:46.872+00,,,,9627,"[{""graduationYear"":null,""faculty"":null,""university"":null}]",b1
6724,2019-09-09 17:06:56.967084,2020-01-19 16:55:12.069984,t,Failed Stage 2,f,True,,,11,5390,928.0,,,,f,2019-09-09 07:35:20.981+00,1970-01-01 00:00:00+00,https://github.com/rolling-scopes-school/7fb23e1c-49ef-5298-8f53-d9e162f04130-RS2019Q3,,5390,[],
7409,2019-09-10 11:59:13.448918,2020-01-20 21:20:12.461623,f,,f,True,,,11,5966,626.0,,,,f,2019-09-09 07:35:20.981+00,1970-01-01 00:00:00+00,https://github.com/rolling-scopes-school/042598e2-f2ce-5254-af8d-5fad6974dc83-RS2019Q3,,5966,[],
6820,2019-09-09 17:25:23.307756,2020-01-20 21:20:12.461623,f,,f,True,,,11,5471,626.0,,,,f,2019-09-09 07:35:20.981+00,1970-01-01 00:00:00+00,https://github.com/rolling-scopes-school/178a7114-f710-5213-91ca-7dcc4e94e35b-RS2019Q3,,5471,[],
12326,2020-02-10 19:09:53.33241,2020-08-03 18:21:04.461539,f,,f,True,,,13,928,1104.0,,,,f,2020-02-10 19:09:53.329+00,,https://github.com/rolling-scopes-school/e6353999-54f2-50e3-9082-da8c3bf95df7-RS2020Q1,,928,"[{""graduationYear"":""2006"",""faculty"":""технология бродильных производств"",""university"":""МОГИЛЕВСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА ПРОДОВОЛЬСТВИЯ""}]",a2
13609,2020-03-05 18:51:34.33725,2020-08-10 16:33:04.055875,t,The number of tasks and quality of them was far from the requirements. We had exit talk about them and she will continue listening and work on tasks which will come in the future.,f,True,,,20,11117,,,,,f,2020-03-05 18:51:34.335+00,2020-08-07 06:33:23.226+00,https://github.com/rolling-scopes-school/91986011-0962-5c67-adf2-435374d3e518-RSSPL2020Q1,2020-07-28 22:18:11.468+00,11117,[],
9544,2020-02-02 07:49:29.8921,2020-08-23 20:24:11.30329,f,,f,True,,,13,8088,1074.0,,,,f,2020-02-02 07:49:29.889+00,,https://github.com/rolling-scopes-school/d3a62a24-4081-5c7f-93b0-f9d7d864eb89-RS2020Q1,2020-06-15 07:53:08.157+00,8088,[],A2
